,Unnamed: 0.1,Unnamed: 0,latitude,longitude,scientific_name,eventDate,kingdom,phylum,class_taxon,order,family,subfamily,genus,species,canonicalName,verbatim_source,verbatim_id,occurrence_id
0,0,0,18.76949,-90.53009,Magnoliopsida,2014-05-15 ,Plantae,Tracheophyta,Magnoliopsida,,,,,Magnoliopsida,Magnoliopsida,inat,47124.0,681138
1,1,1,18.84635,-90.639696,Syngonium,2014-07-07 ,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Aroideae,Syngonium,Syngonium,Syngonium,inat,143209.0,1045938
2,2,2,18.842614,-90.643644,Danaus plexippus,2014-07-07 ,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danainae,Danaus,Danaus plexippus,Danaus plexippus,inat,48662.0,1046025
3,3,3,18.844076,-90.644674,Trametes betulina,2014-07-15 ,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,,Trametes,Trametes betulina,Trametes betulina,inat,786918.0,1046041
4,4,4,18.845335,-90.643129,Pseudosphinx tetrio,2014-08-12 ,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Macroglossinae,Pseudosphinx,Pseudosphinx tetrio,Pseudosphinx tetrio,inat,124467.0,1046061
5,5,5,18.845335,-90.643129,Animalia,2014-08-12 ,Animalia,,,,,,,Animalia,Animalia,inat,1.0,1046063
6,6,6,18.8194402867,-90.6076841601,Amazona albifrons,2014-10-05 ,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,,Amazona,Amazona albifrons,Amazona albifrons,inat,18995.0,1046891
7,7,7,18.846188,-90.643902,Diapheromeridae,2014-10-06 ,Animalia,Arthropoda,Insecta,Phasmida,Diapheromeridae,,,Diapheromeridae,Diapheromeridae,inat,47320.0,1048586
8,8,8,18.847487,-90.645447,Danaus gilippus,2014-03-04 ,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danainae,Danaus,Danaus gilippus,Danaus gilippus,inat,51743.0,1067690
9,9,9,18.856747,-90.637636,Fungi,,Fungi,,,,,,,Fungi,Fungi,inat,47170.0,1116882
10,10,10,18.856747,-90.637636,Polyporales,,Fungi,Basidiomycota,Agaricomycetes,Polyporales,,,,Polyporales,Polyporales,inat,47380.0,1116884
11,11,11,18.843588,-90.654545,Fungi,,Fungi,,,,,,,Fungi,Fungi,inat,47170.0,1116907
12,12,12,18.843426,-90.649824,Fungi,,Fungi,,,,,,,Fungi,Fungi,inat,47170.0,1116912
13,13,13,18.837415,-90.672569,Fungi,,Fungi,,,,,,,Fungi,Fungi,inat,47170.0,1116922
14,14,14,18.843263,-90.650768,Passiflora,,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passifloroideae,Passiflora,Passiflora,Passiflora,inat,878751.0,1116931
15,15,15,18.83774,-90.650768,Ipomoea nil,,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Convolvuloideae,Ipomoea,Ipomoea nil,Ipomoea nil,inat,164091.0,1135304
16,16,16,18.850412,-90.647163,Fungi,,Fungi,,,,,,,Fungi,Fungi,inat,47170.0,1135316
17,17,17,18.850412,-90.647163,,,,,,,,,,,,inat,,1135318
18,18,18,18.850412,-90.647163,Fungi,,Fungi,,,,,,,Fungi,Fungi,inat,47170.0,1135320
